Place,Tank,Treat,Plant.treat,Hyacinth,Chop,Manage.treat,Week,Date,Plant.mass,Cercs,Peri,,,,,,
,28,Control.none,Control,0,0,none,5,6/5/2019,NA,0,,,,,,,
,29,Control.none,Control,0,0,none,5,6/5/2019,NA,26,,,,,,,
,30,Hyacinth.chop,Hyacinth,1,1,chop,5,6/5/2019,200,522,,,,,,,
,31,Hyacinth.remove,Hyacinth,1,0,remove,5,6/4/2019,200,0,,,,,,,
,32,Hyacinth.chop,Hyacinth,1,1,chop,5,6/5/2019,150,720,,,,,,,
,33,Hyacinth.chop,Hyacinth,1,1,chop,5,6/5/2019,100,1975,,,,,,,
,34,Hyacinth.chop,Hyacinth,1,1,chop,5,6/5/2019,200,0,,,,,,,
,35,Control.none,Control,0,0,none,5,6/5/2019,NA,0,,,,,,,
,36,Hyacinth.remove,Hyacinth,1,0,remove,5,6/4/2019,200,0,,,,,,,
,37,Hyacinth.remove,Hyacinth,1,0,remove,5,6/4/2019,100,0,,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,5,6/4/2019,200,750,,,,,,,
,39,Hyacinth.remove,Hyacinth,1,0,remove,5,6/5/2019,200,1671,,,,,,,
,40,Hyacinth.chop,Hyacinth,1,1,chop,5,6/5/2019,150,782,,,,,,,
,1,Control.none,Control,0,0,none,6,,NA,0,1289,,,,,,
,2,Hyacinth.remove,Hyacinth,1,0,remove,6,,450,0,94.27,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,6,,450,720,170.1,,,,,,
,4,Control.chop,Control,0,1,chop,6,,NA,0,1475,,,,,,
,5,Control.chop,Control,0,1,chop,6,,NA,0,6955,,,,,,
,6,Control.chop,Control,0,1,chop,6,,NA,0,5641,,,,,,
,7,Control.chop,Control,0,1,chop,6,,NA,0,6079,,,,,,
,8,Control.none,Control,0,0,none,6,,NA,14,2358,,,,,,
,9,Hyacinth.remove,Hyacinth,1,0,remove,6,,600,0,248.9,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,6,,750,0,282.3,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,6,,550,1,587.2,,,,,,
,13,Control.chop,Control,0,1,chop,6,,NA,0,247.2,,,,,,
,14,Hyacinth.remove,Hyacinth,1,0,remove,6,,450,0,119.5,,,,,,
,15,Control.none,Control,0,0,none,6,,NA,0,1343,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,6,,600,0,305.8,,,,,,
,17,Hyacinth.chop,Hyacinth,1,1,chop,6,,600,0,187.7,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,6,,550,66,814.1,,,,,,
,19,Control.chop,Control,0,1,chop,6,,NA,0,7692,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,6,,450,0,963.9,,,,,,
,21,Hyacinth.chop,Hyacinth,1,1,chop,6,,600,618,428.8,,,,,,
,22,Control.none,Control,0,0,none,6,,NA,0,5225,,,,,,
,23,Control.chop,Control,0,1,chop,6,,NA,1,14310,,,,,,
,27,Hyacinth.remove,Hyacinth,1,0,remove,6,,150,0,284.7,,,,,,
,28,Control.none,Control,0,0,none,6,,NA,0,3450,,,,,,
,29,Control.none,Control,0,0,none,6,,NA,1,3210,,,,,,
,30,Hyacinth.chop,Hyacinth,1,1,chop,6,,600,372,453.1,,,,,,
,31,Hyacinth.remove,Hyacinth,1,0,remove,6,,500,0,1345,,,,,,
,32,Hyacinth.chop,Hyacinth,1,1,chop,6,,450,19,1433,,,,,,
,33,Hyacinth.chop,Hyacinth,1,1,chop,6,,400,2033,728.2,,,,,,
,34,Hyacinth.chop,Hyacinth,1,1,chop,6,,500,0,632.9,,,,,,
,35,Control.none,Control,0,0,none,6,,NA,0,4821,,,,,,
,36,Hyacinth.remove,Hyacinth,1,0,remove,6,,400,3,370.7,,,,,,
,37,Hyacinth.remove,Hyacinth,1,0,remove,6,,450,0,2571,,,,,,
